category,canonical_work,source_name,source_item_title,access_method,source_ref,status,completeness,text_quality,bulk_ingest,auth_required,license_or_terms,recommended_role,notes,source_url
플랫폼,,Chinese Text Project API,CTP API,JSON API / Plugin API,api.ctext.org / readlink / gettext / getlink,검증됨,"챕터 단위 fulltext 가능, 상위 work subsections는 인증 필요 가능",공개판 기반 + 인쇄본 대조,비권장/제한,대형 work/추가 접근은 필요 가능,"자동 다운로드 금지, 요청 제한 존재",메타데이터 조회 + 선택적 비교 소스,URN은 opaque identifier로 취급,https://ctext.org/tools/api
명리 고전,淵海子平,Chinese Text Project,淵海子平,Wiki text / URN,ctp:wb727782,검증됨,작품 페이지 확인,community edited text,비권장/제한,선택적,자동 다운로드 금지,보조 대조본,"作者 徐子平, 宋. 판본 공란",https://ctext.org/wiki.pl?if=gb&remap=gb&res=727782
명리 고전,淵海子平,zh.wikisource,淵海子平,MediaWiki API / page HTML,title=淵海子平,검증됨,"72개 목차 확인, 그러나 미완성","출처 불명, 추가 검증 필요",가능,불필요,작품 PD-old + 사이트 텍스트 CC BY-SA 4.0,수집 가능하나 공개 전 수동 검수 필수,페이지 자체가 未完成 및 來源不明 경고 포함,https://zh.wikisource.org/wiki/淵海子平
명리 고전,子平真詮,Chinese Text Project,子平真詮評注,Wiki text / URN,ctp:wb631975,검증됨,작품 페이지 확인,community edited text,비권장/제한,선택적,자동 다운로드 금지,자평진전 계열의 임시 1차 소스,정확히는 評注본이며 원전과 주석본을 구분 저장해야 함,https://ctext.org/wiki.pl?if=en&remap=gb&res=631975
명리 고전,子平真詮,zh.wikisource,子平真诠,MediaWiki page,redlink,부재,실제 본문 페이지 없음,,불가,불필요,,사용 금지,포털 목록에는 있으나 실제 페이지는 redlink,https://zh.wikisource.org/wiki/Portal:科學技術
명리 고전,滴天髓,zh.wikisource,滴天髓,MediaWiki API / page HTML,title=滴天髓,검증됨,작품 페이지 존재,사용 가능,가능,불필요,작품 PD-old + 사이트 텍스트 CC BY-SA 4.0,1차 공개 소스,기본 본문층으로 사용,https://zh.wikisource.org/wiki/滴天髓
명리 고전,滴天髓,Chinese Text Project,滴天髓闡微,Wiki text / URN,ctp:wb221357,검증됨,작품 페이지 확인,community edited text,비권장/제한,선택적,자동 다운로드 금지,주석/비교 레이어,任鐵樵의 闡微본으로 기본 원전과 동일 취급 금지,https://ctext.org/wiki.pl?if=en&remap=gb&res=221357
명리 고전,窮通寶鑑,zh.wikisource,穷通宝鉴,MediaWiki API / page HTML,title=穷通宝鉴,검증됨,작품 페이지 존재,사용 가능,가능,불필요,작품 PD-old 성격 + 사이트 텍스트 CC BY-SA 4.0,1차 공개 소스,명리 월령/용신 해석 레이어의 핵심 기본본,https://zh.wikisource.org/wiki/穷通宝鉴
명리 고전,窮通寶鑑,Chinese Text Project,窮通寶鑑,Wiki text / URN,ctp:wb346166,검증됨,작품 페이지 확인,community/위키 계열,비권장/제한,선택적,자동 다운로드 금지,보조 대조본,"作者 馀春台, 明",https://ctext.org/wiki.pl?if=gb&remap=gb&res=346166
명리 고전,三命通會,zh.wikisource,三命通會,MediaWiki API / page HTML,title=三命通會,검증됨,권1~권9만 존재,사용 가능하나 불완전,가능,불필요,작품 PD-old + 사이트 텍스트 CC BY-SA 4.0,사용 비권장,권10~권12 결락,https://zh.wikisource.org/wiki/三命通會
